id,Субъект Российской Федерации,Год,Всего,ЗП,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
31,Новгородская область,2022,581578,102.9,103944,318097,159537,4568,4829,5167,5831,6385,7127,7414,7371,7287,7475,7028,6984,6794,6750,6750,6184,5877,6125,5627,5660,5298,4653,4819,5441,5053,5304,5511,5850,4972,5836,6794,7907,8589,9031,10372,9828,9487,9314,9633,9302,8639,9130,8595,8492,8116,8381,8448,7877,7715,7720,7453,7622,6986,6912,7039,7504,7846,7940,8331,9006,8436,8656,9594,9778,9540,9016,7986,7757,6889,6672,7333,6907,7059,5243,4570,3943,2494,1757,1439,2027,3499,3033,3263,2981,2686,1813,1498,1104,969,887,708,596,406,347,255,171,100,66,55,20,46
32,Псковская область,2022,596899,97.0,98042,330426,168431,5030,4727,5175,5757,5945,6826,7010,6777,6783,6909,6688,6197,6180,6225,6228,5585,5740,5887,5813,6584,6372,5521,4802,5101,4830,5269,5424,5268,5435,6342,7322,8713,8902,9434,10091,10006,9602,9336,9559,9511,8822,9080,8457,8540,8353,8681,8536,8313,8058,8383,8175,8278,7538,7496,7420,7761,8177,8286,8878,9232,9588,10222,9735,10050,9776,9202,9030,8821,7804,8059,7443,7516,7351,5501,4920,3984,2513,2045,1577,2249,3502,2975,3136,2978,2608,1920,1472,1007,934,1085,676,577,355,328,194,126,105,63,41,31,30
33,г. Санкт-Петербург,2022,5607916,100.1,838937,3365469,1403510,50715,48654,50228,52893,55390,61242,62706,59530,56767,57565,53604,52195,49180,44754,41605,41909,45353,46356,66153,64323,65711,78097,69069,58073,50229,57195,61108,55975,56047,63146,72615,92658,98365,102536,108087,106003,110386,102507,103602,96794,92110,100445,90124,86881,82435,86692,83184,81434,77874,79729,76494,80846,74112,73206,66631,68127,73053,71531,76405,76844,77708,84913,76444,73469,72537,70238,72458,67707,60807,60544,56730,57647,55877,48549,46267,46712,33015,20569,13796,14044,24315,26888,30382,29664,29698,17858,14254,10288,8894,9473,7208,6013,4243,3193,2426,1805,1273,865,625,430,608
34,Южный федеральный округ,2022,16718204,100.2,3049250,9568992,4099962,156510,159434,165193,177626,186935,207995,216359,215200,211354,212815,200380,194409,190361,197184,187138,170357,171401,165082,166050,162982,153517,167098,155581,156630,152420,168331,184523,179650,187009,208189,227476,272483,273483,277077,290513,295691,299498,282329,287343,269064,256277,284536,254602,249027,234941,242348,245663,230458,221276,224650,213745,230300,203069,204402,192558,197289,210999,204826,224380,226575,236476,262723,235510,229543,216291,216557,211793,209299,190486,189885,173700,176735,170396,137786,123580,107157,67466,46264,50951,64551,85735,91969,88758,82132,74603,54029,41266,23090,17175,19529,14538,15754,10562,8639,6264,4616,2687,1794,1172,635,1517
35,Республика Адыгея,2022,498285,97.2,98262,286770,113253,5307,5283,5054,5519,5869,6455,6947,6766,6491,6646,6376,6978,6484,6498,6190,5399,5572,5116,4936,4791,4805,5714,5525,5679,5016,5793,6294,5767,5973,6960,7637,9029,8865,8049,8386,8849,9103,7878,7826,7410,7009,8694,7453,7085,6209,6795,7244,6277,6154,6216,6162,6566,5797,6099,5401,5566,6417,5797,6285,6575,6837,7845,6746,6589,6029,6102,5805,5567,4961,5140,4777,4994,4429,3657,3326,2732,1872,1058,1329,1726,2343,2635,2518,2320,2029,1486,1102,602,419,468,414,410,345,229,159,103,72,39,17,14,4
36,Республика Калмыкия,2022,266432,96.5,58638,150417,57377,2741,2942,3022,3287,3271,3613,3857,3976,4041,4110,3975,4183,4069,4210,4016,3325,3336,3244,3012,2674,2606,2564,2632,2655,2625,2682,2837,3034,3001,3451,3654,4274,4522,4533,4866,4633,4631,4534,4370,4207,3811,3993,3716,3474,3378,3276,3300,3148,2888,2823,2703,2982,3043,3177,3228,3388,3731,3949,4193,4190,4380,4461,4232,3962,3669,3626,3450,3284,2800,2637,2393,2107,1958,1232,1071,880,470,291,454,678,793,972,944,835,717,615,473,258,191,234,171,189,127,87,76,37,32,18,9,11,2
37,Республика Крым,2022,1931091,96.1,363696,1072344,495051,18005,18467,19533,20787,21467,23526,25051,24467,25168,25511,24631,24431,24707,24401,22664,20880,19225,18801,18009,16866,16530,16873,16711,17193,17364,18420,18960,20518,21176,22892,25432,28040,29695,30684,33338,34094,33858,33746,33565,31010,29836,29633,28767,28356,27756,27441,26640,26186,25085,25193,24486,24558,23803,23352,22993,22425,22070,23835,25240,26387,27595,28023,28175,28040,27638,26971,26016,25275,23749,23263,22291,21571,20336,16975,15547,13452,8505,7947,7620,8807,8758,8800,9270,9515,8442,6713,4725,3247,2361,2255,1867,1773,1389,916,775,607,387,305,190,80,182
38,Краснодарский край,2022,5832042,102.0,1112335,3307887,1411820,60306,61115,63024,66686,70195,76914,78981,79280,76779,76368,71681,68469,67756,68501,65220,61060,61351,61272,58576,55378,51784,54816,50954,52930,52393,56624,62333,64060,66483,74847,80660,92589,90813,94834,99942,101288,101139,98256,99241,94076,89461,98689,88456,86686,82482,83845,85611,81750,78961,79515,75720,80564,68712,68412,66704,67168,70658,70307,74740,78634,82044,90728,80348,77131,72463,71979,70528,71541,65023,64362,58737,61458,58194,47379,44474,36801,21779,15942,17303,21577,30566,34654,32591,29697,28581,19513,14658,7974,5748,6360,5157,6859,3933,3463,2449,1819,861,513,387,229,190
39,Астраханская область,2022,957772,99.7,203640,543830,210302,10616,10800,10836,11575,12086,14077,14578,14514,14613,14835,13347,12531,12954,13553,12306,10419,10764,10810,10102,10226,9269,9366,8989,9343,9328,9330,10574,10046,10658,11934,13041,15433,15403,16211,16903,16313,16920,16323,16518,15244,14875,15159,13344,14731,13520,13154,13422,12133,12498,12495,12055,11519,11319,10761,10926,11345,11964,12153,13203,12768,13109,14380,12991,12670,11981,12362,11958,11492,10263,10108,9828,8736,8617,7241,5366,4790,3187,1865,2055,2596,3733,3633,3486,3197,2764,1992,1672,1057,843,1173,485,346,228,192,144,100,64,29,44,23,940
40,Волгоградская область,2022,2492808,100.5,409110,1454545,629153,19413,19546,20896,23387,24709,27855,28616,28724,28577,29179,27868,25607,25247,28604,27534,23348,23265,20468,23542,24889,23805,26765,25168,24316,22756,26130,28571,25887,27756,29380,32866,42023,42207,42293,43338,43901,44618,41243,42746,39740,38016,42918,39556,37379,36544,38069,37941,35779,34512,35277,33151,36857,32824,32868,29887,31552,33799,31512,35344,34284,35642,39922,35640,34358,32668,32944,32682,31950,28779,28465,26218,26932,26205,21756,18354,16404,10879,6550,7420,10084,13749,14255,14086,13023,11259,8833,6933,3757,3012,3480,2511,2406,1858,1566,1142,827,521,404,254,127,101
41,Ростовская область,2022,4192322,100.3,710490,2423911,1057921,35697,36473,37720,41023,43435,48999,51262,51038,49183,49622,46231,46584,43624,45496,43461,40642,42338,40348,42258,42598,39566,44312,39087,39321,38050,42632,47539,44720,46232,52174,56671,71229,71460,70524,73509,75158,77301,70683,73304,68068,64744,74735,64730,62348,57376,61036,63032,57554,54309,56035,53007,59155,50450,52192,47550,49546,55515,51313,58276,57488,60532,69521,60758,59872,55820,55678,54683,53611,49159,49797,44129,45440,45117,35239,31438,28097,17997,10755,13017,16924,23182,24496,23242,21365,18747,13446,10661,5535,4063,4912,3554,3376,2357,1957,1337,986,646,443,239,134,97
42,г. Севастополь,2022,547452,93.8,93079,329288,125085,4425,4808,5108,5362,5903,6556,7067,6435,6502,6544,6271,5626,5520,5921,5747,5284,5550,5023,5615,5560,5152,6688,6515,5193,4888,6720,7415,5618,5730,6551,7515,9866,10518,9949,10231,11455,11928,9666,9773,9309,8525,10715,8580,8968,7676,8732,8473,7631,6869,7096,6461,8099,7121,7541,5869,6299,6845,5960,7099,6249,6337,7843,6620,6921,6023,6895,6671,6579,5752,6113,5327,5497,5540,4307,4004,4001,2777,1856,1753,2159,2611,2524,2621,2180,2064,1431,1042,660,538,647,379,395,325,229,182,137,104,43,32,17,1
43,Северо-Кавказский федеральный округ,2022,10174103,96.2,2422804,6069020,1682279,129306,134715,136008,143182,147023,153572,161681,163395,161511,164047,162953,162755,155917,160996,151180,134563,147840,134619,139591,134467,122683,138478,132694,136300,125043,137430,150446,133828,139486,162421,167802,204683,185929,174933,173027,175601,178613,155489,156539,149974,137242,168307,139251,134918,120830,128446,140053,117387,114792,115335,111048,139364,112969,119802,104962,106946,126737,110278,116033,114600,113805,139449,111105,105864,93624,93788,90247,84164,73436,73153,62234,69688,58468,46586,40080,33840,26845,16354,19424,26347,29407,36044,31542,29123,24670,20241,16630,9500,7858,9207,4760,5953,2961,2734,1643,1171,811,509,385,303,130
44,Республика Дагестан,2022,3186902,95.8,811054,1953845,422003,43253,46483,46799,49562,50441,51903,53196,55949,54479,54467,53588,52929,51353,53109,49676,43867,49375,45658,45376,42935,38754,43823,41855,45205,42750,48473,50792,48896,47211,54689,58128,70195,60951,57939,56706,55523,57404,48317,47804,45051,40689,51384,40280,39866,37188,38748,43328,37134,36898,36314,34574,45024,34986,38438,34547,34531,40642,35809,35234,35322,33312,40137,30514,28443,24788,23543,22364,19827,16628,16320,13669,16655,12500,10643,8430,7155,6846,3995,4119,6369,5802,8525,6447,6235,5650,5115,4233,2842,2260,2611,1310,1854,509,533,262,210,175,98,78,68,28
45,Республика Ингушетия,2022,511316,88.2,145814,320469,45033,8457,8284,8175,7982,7814,7668,8639,9716,9376,9578,11331,9924,10211,10205,9361,9093,9884,8794,9316,9341,7743,9770,9807,8893,8543,9356,10295,8435,8386,9557,7962,12414,10295,7788,7221,7994,8979,5975,6087,6664,5701,9360,6564,5944,4483,5462,6503,4900,4991,5461,5332,8536,6169,5875,4026,4067,6212,3965,4572,4208,4111,6149,3820,3424,2358,2875,2535,1957,1728,1727,1389,1906,1155,892,676,653,636,473,490,640,462,732,492,415,308,372,287,223,178,171,106,134,58,50,26,15,22,8,13,6,0
46,Кабардино-Балкарская Республика,2022,904338,98.6,199410,539605,165323,10441,10449,10445,11618,11733,12721,14005,13669,13642,14314,12871,14491,13293,13006,12286,10426,11065,9912,10365,10162,9838,12829,11954,11607,10513,11549,13486,11206,12177,13333,14024,18200,17472,15801,15357,16152,17091,13540,13598,12998,12251,15941,12795,12189,10518,11354,12458,10032,9746,10135,10159,13060,11463,12160,10495,10786,13108,11224,11545,11579,11280,13733,10949,10478,9136,9218,8752,8331,6908,7075,5944,6439,5507,4415,3804,3232,2700,1668,2162,3232,3020,3651,3233,2888,2200,1884,1412,911,734,954,442,521,241,222,142,104,65,32,38,40,4
47,Карачаево-Черкесская Республика,2022,469096,94.9,99780,275519,93797,4569,5354,5691,5755,5932,6376,6913,6453,6613,6723,6186,7101,6763,7012,6819,5520,5946,5487,5449,5383,5027,5873,5456,5864,5020,5728,6761,5657,5849,6739,7126,8917,8004,8053,7767,8008,8678,7076,7339,7233,6534,8113,6631,6613,5882,6060,6636,5618,5359,5465,5417,6385,5435,6068,5338,5432,6403,5752,5855,5776,5965,7158,6077,6125,5575,5491,5020,4805,4162,4091,3455,3857,3177,2533,2115,1636,1232,765,1179,1361,1927,2107,1977,1715,1457,1206,966,562,479,615,260,399,181,159,111,66,61,34,20,21,2
48,Республика Северная Осетия – Алания,2022,685393,97.2,137242,399059,149092,6962,7188,7490,7984,7856,8637,9465,9398,9490,9812,9258,9295,8676,8842,9048,7841,8113,7413,8037,8203,7917,9522,8666,8404,7649,8525,9393,8209,8314,9299,9648,11854,11642,10899,10831,11294,11979,10010,9990,9463,8976,11493,9396,9394,8893,9195,10277,8663,8507,8436,8237,9752,8395,8841,7967,8322,9642,8284,9014,8642,8795,10298,8592,8470,7614,7752,7277,7094,5938,6339,5581,6285,5469,4377,4077,3488,2858,1822,2024,2969,3376,3761,3324,3238,2608,2114,1802,1131,925,1102,424,545,306,277,149,118,82,68,50,28,4
49,Чеченская Республика,2022,1514603,94.8,494014,871519,149070,29050,29529,29459,29509,30714,29259,31662,31822,32306,33464,36384,29465,29648,33575,30596,27572,29685,27657,27356,25625,23186,23831,25773,24911,22488,21607,22083,20330,20655,23128,22657,29563,26619,24664,25004,24773,25534,22163,21706,20936,18549,23936,18444,17259,15475,15494,16540,13836,13267,13580,12883,15827,13077,13167,11963,12092,13210,12281,13128,12831,12460,15434,12516,11485,10406,9527,8953,8003,7179,6741,5399,5826,3986,3004,2381,1506,1088,1144,1124,1574,1223,1838,1273,1316,1158,1282,945,555,647,702,220,331,109,239,45,41,27,28,20,25,56
50,Ставропольский край,2022,2902455,97.9,535490,1709004,657961,26574,27428,27949,30772,32533,37008,37801,36388,35605,35689,33335,39550,35973,35247,33394,30244,33772,29698,33692,32818,30218,32830,29183,31416,28080,32192,37636,31095,36894,45676,48257,53540,50946,49789,50141,51857,48948,48408,50015,47629,44542,48080,45141,43653,38391,42133,44311,37204,36024,35944,34446,40780,33444,35253,30626,31716,37520,32963,36685,36242,37882,46540,38637,37439,33747,35382,35346,34147,30893,30860,26797,28720,26674,20722,18597,16170,11485,6487,8326,10202,13597,15430,14796,13316,11289,8268,6985,3276,2635,3052,1998,2169,1557,1254,908,617,379,241,166,115,36
51,Приволжский федеральный округ,2022,28869534,100.7,5331512,16281446,7256576,259595,264735,276988,306513,325122,374003,388450,385201,383771,384278,360114,346950,337188,336769,317219,284616,291336,294634,293319,283537,261736,272352,258184,265684,255344,276372,292837,291936,301721,339919,378032,450859,473022,490420,515458,513173,500915,476257,482231,442647,427715,446986,420321,414844,400831,416231,412788,391133,371541,378407,369124,382359,355239,354535,343921,364147,382476,384919,417249,422270,443397,475881,443547,435659,413438,393741,390173,377898,330325,328723,308003,294723,288922,231790,213264,185027,106713,70908,69325,101975,146766,144489,147156,130225,111502,87383,67629,46944,37083,39630,28636,25704,18134,14800,10175,7255,4831,3056,1964,936,1331
52,Республика Башкортостан,2022,4091621,100.8,818105,2328492,945024,39306,40872,41491,46563,48672,56166,59429,59623,59032,58890,55382,54259,51321,53622,50453,43024,45645,45427,44349,43424,39011,41081,38498,39625,38884,41846,43417,41419,43426,49870,54606,69022,70825,72410,76594,73477,72176,67506,69038,63243,59639,61938,57203,54946,52835,53890,52989,50749,47788,49388,48105,52755,49833,51497,49244,52683,55820,56061,61065,62037,64416,69998,63032,60514,56504,52001,51482,48911,41684,42311,38580,34334,34360,25694,24344,21529,12407,7370,8187,13157,17058,17521,18709,16224,13651,12035,9753,6421,5214,5838,3853,3374,2341,2006,1197,876,589,363,199,82,113
53,Республика Марий Эл,2022,676351,100.4,132939,376367,167045,6376,6622,6699,7339,8075,9375,9680,9797,9866,9651,8959,8468,8604,8337,8042,7049,7127,7246,6925,6732,6329,6313,6012,5988,5551,5943,6452,6572,6854,7771,8927,10973,11156,11696,12571,12375,11667,11508,11658,10517,10258,10158,9597,9092,9099,9322,9020,8453,8004,7985,7731,8430,7862,8133,8065,8496,9007,9100,10199,9866,10888,11863,11073,10951,10582,9888,9746,9236,7949,7402,6794,6396,6483,5252,4747,3893,2064,1253,1183,2065,2808,2964,2809,2527,2094,1482,1233,1091,913,991,574,423,329,229,172,139,78,42,39,22,5
54,Республика Мордовия,2022,781440,101.8,114783,449377,217280,5252,5451,5826,6561,6621,7617,7703,7786,7944,7952,7607,7786,7904,8047,7614,7112,7301,7523,8135,8031,7886,8241,7774,7563,7052,7505,8248,7695,8001,9002,9803,11497,12339,12623,13329,13145,12942,12166,12504,11824,11212,11798,11312,11077,10754,11166,11420,10824,10170,11005,11436,11536,10376,10594,10417,11215,11902,11477,12631,12470,13252,14366,13603,13625,12703,12382,11294,11114,9771,9853,8862,8748,8632,7279,6127,5645,2786,2015,1884,3067,4647,4470,4029,3979,2933,2589,2100,1507,1104,1127,820,846,646,588,432,321,209,157,130,66,28
55,Республика Татарстан,2022,4000084,100.1,773743,2283072,943269,40901,41263,42633,47040,49363,56733,57620,56842,56765,55913,50652,48623,46592,44522,41188,37093,39393,38641,40874,39356,35000,38195,36363,37228,38302,41377,44775,43501,46339,51497,56166,69714,72370,74080,77108,74174,72101,67896,67525,60643,57873,59581,57836,54956,53668,56481,54898,52094,49909,49773,47138,50588,47122,47749,46620,50708,52569,52252,57221,57505,59800,65276,58795,56944,54316,51017,50979,48923,41970,41546,38185,35915,36216,28718,26553,22941,13152,8405,8932,12711,19435,19439,19859,17142,14091,11659,8824,7360,5509,5420,4428,3651,2582,2146,1582,1045,723,438,292,111,152
56,Удмуртская Республика,2022,1448946,100.1,296719,806303,345924,14394,14533,14538,16278,17510,20683,21572,21472,21782,22461,21265,19796,19003,18179,17607,15646,15964,16724,16029,14977,14002,14189,13749,14093,13452,13815,13547,15441,15040,17013,17928,20411,21691,24109,25102,24861,23740,23465,24787,22248,21714,22156,21000,20834,20436,21973,20540,20186,18417,18257,18097,17914,16321,16086,16592,17408,17828,18748,20086,20901,21769,23612,22238,22099,20830,19237,19480,18715,16293,16168,14919,14117,13301,9722,9906,7774,4511,3346,2889,4189,6124,5828,6378,5243,4357,3607,2888,2267,1723,1696,1392,1204,753,586,424,322,173,119,84,39,34
57,Чувашская Республика,2022,1183908,101.2,231514,664025,288369,11057,11401,12047,12913,14645,16057,16666,16543,16435,16916,15647,15491,15052,14470,13952,12222,12077,12151,11729,10617,9966,10602,10569,10845,10365,11568,11828,11210,11448,12806,15289,18167,19352,19678,20676,20481,19220,18773,18402,16837,16593,17431,16768,16752,16582,17678,17183,16061,15313,15839,15649,15812,15628,15758,15377,17086,17129,17205,17861,17847,18135,19799,18563,17711,16836,15838,15263,14584,12565,12613,11757,11298,11035,9034,8004,6486,3550,2780,2586,4687,5552,5660,5554,4875,4532,3276,2775,2334,1835,1657,1301,1027,725,594,410,355,239,166,101,41,53
58,Пермский край,2022,2525149,100.2,511793,1413072,600284,24460,23810,26004,28842,31542,36602,38016,37400,37343,37993,36298,32705,30715,32864,30710,26489,27925,28435,28212,26494,24575,24358,22287,23018,21379,22945,23739,23703,24739,28111,31375,38208,40593,41758,44219,45731,44612,41891,41836,38702,37001,39358,36572,37752,36111,37037,38519,36319,33966,34214,33311,32212,30421,29530,28086,28887,30493,30892,33233,33530,35802,37884,35520,35846,33288,32811,32142,32185,28152,28117,27347,27461,24775,19498,18266,15538,9630,5809,5497,7515,11325,11026,11671,10391,8521,6595,5280,3559,3037,3530,2318,1902,1391,1229,749,607,360,220,155,82,36
59,Кировская область,2022,1149176,98.5,198538,617040,333598,8011,9051,9822,11243,12371,14315,15082,13974,14179,14097,13100,13529,13139,12898,12223,11504,10853,10777,9847,9763,8995,8823,7796,8381,7807,8491,9135,8904,9403,10867,12796,15581,16673,16935,18457,19877,19529,18637,19945,18299,17858,19186,17251,17751,16463,17618,17237,16241,15271,15194,14724,14937,13372,13499,13127,14299,15366,15730,17499,17873,19964,21785,21009,21019,20343,18742,19049,18168,15666,15729,14739,14233,13541,10161,9832,8149,4077,2623,2027,3488,6403,6132,6631,5708,5138,3564,3068,2489,2052,2080,1575,1301,963,736,470,367,219,139,81,48,63
60,Нижегородская область,2022,3108918,103.1,543407,1740931,824580,26017,27579,28603,31912,34166,38482,40067,38486,38287,38387,36135,34478,34793,34037,31984,29994,29627,29826,29993,29452,26998,28328,25838,28302,26696,28595,30448,30366,30126,34120,39070,47198,50243,52242,55848,56274,55028,51546,53286,48470,47529,49837,46119,47411,44338,45214,45891,43125,40932,41620,41366,42541,39061,37208,36347,37981,40167,40282,42882,44098,47028,50808,49370,49656,46868,44802,43959,42430,37599,36680,34854,34738,33950,26094,24568,22036,13142,9557,7730,10475,16741,16198,16182,15288,14232,10099,8684,6481,4765,5048,3399,2982,2115,1752,1153,820,553,372,198,113,123
61,Оренбургская область,2022,1855781,99.0,360892,1039313,455576,17384,17936,18747,20080,20581,23925,25191,25968,26159,26410,24918,25382,23965,22924,21848,19474,19789,20337,20257,19427,18118,18370,17659,18656,17875,18396,19169,19543,18923,19526,21984,24849,27564,29002,30760,32126,32324,29415,30149,28162,27913,30096,27649,26495,25701,26456,26696,24609,23452,24050,23393,23347,22435,22735,21940,22969,24436,24803,27263,27879,29658,30407,29138,29032,26574,25428,24949,23999,20635,20655,19795,17133,16368,14345,13266,11610,5951,4031,4330,6262,8741,9013,9466,8232,7211,5769,4042,2072,1646,1921,1539,1508,1085,834,585,396,263,147,81,37,38
62,Пензенская область,2022,1261103,100.2,200206,705997,354900,9502,9538,10200,10761,11506,13241,13880,14328,13998,14123,13382,14089,13816,13586,12451,11805,11855,12360,11881,11288,11222,11048,11440,10871,10357,10996,12140,11939,12847,14113,16367,18819,20249,21032,21744,21439,21635,20140,20160,18785,18704,20266,18393,18599,17435,18695,18125,17127,16732,17138,16942,17196,16188,15781,16125,16601,17908,17655,19133,19370,19992,21846,21060,20338,19131,19336,18939,17787,16307,16518,15565,15566,15616,12277,11626,8567,5022,3541,3565,6461,8189,8002,7820,6094,5276,4135,2807,2000,1565,1768,1257,1170,858,716,463,300,214,146,98,68,51
63,Самарская область,2022,3164384,100.1,552098,1799419,812867,27440,27766,29563,32979,34444,39960,40818,40074,39317,38772,36647,34246,33652,34175,32048,30197,30040,30946,30688,29303,26908,28005,26519,27257,26160,28679,31401,32915,34460,40274,43848,49012,51249,54237,56688,57615,55558,54274,54238,50091,48352,50246,47905,47290,46554,47887,48001,45650,43913,44757,43369,44999,39864,38528,37096,38459,39790,40179,43268,43794,45826,49201,44867,44052,43478,41104,41896,42002,37948,38073,36174,34562,34898,29222,26461,23733,14095,9509,9154,12311,17632,17001,17044,15677,13243,10120,7206,4196,3584,3726,3048,3216,2101,1710,1239,867,613,360,236,94,541
64,Саратовская область,2022,2431012,101.0,394826,1397115,639071,19543,18659,20056,22198,23306,26622,28058,28245,28152,28199,26565,25368,25896,26362,25443,22154,23125,23310,23543,24027,22952,24435,23474,23298,21636,24964,26705,25784,27054,30419,34109,39042,39563,40352,41817,41244,41166,39869,39768,37749,36242,38328,36910,35354,34552,36290,36277,34082,32300,33362,32081,34080,31869,32510,29812,31333,32836,32757,35859,35213,36235,37698,35512,34666,32895,33368,33479,32646,28707,28521,26730,26995,26698,23179,19582,18670,11837,7492,8007,10770,15220,14628,14648,13033,10846,8406,6134,3413,2631,3158,1954,1817,1493,1113,895,572,426,281,211,100,68
65,Ульяновская область,2022,1191661,100.1,201949,660923,328789,9952,10254,10759,11804,12320,14225,14668,14663,14512,14514,13557,12730,12736,12746,11656,10853,10615,10931,10857,10646,9774,10364,10206,10559,9828,11252,11833,12944,13061,14530,15764,18366,19155,20266,20545,20354,19217,19171,18935,17077,16827,16607,15806,16535,16303,16524,15992,15613,15374,15825,15782,16012,14887,14927,15073,16022,17225,17778,19049,19887,20632,21338,19767,19206,19090,17787,17516,17198,15079,14537,13702,13227,13049,11315,9982,8456,4489,3177,3354,4817,6891,6607,6356,5812,5377,4047,2835,1754,1505,1670,1178,1283,752,561,404,268,172,106,59,33,26
66,Уральский федеральный округ,2022,12285258,102.1,2521796,7006450,2757012,128741,129909,134204,146755,154723,173444,181349,183644,181995,182940,171902,160307,155676,156267,146446,133494,133058,132511,127081,121911,114370,119966,112935,115290,107852,118261,126089,128703,127817,146496,165152,192637,199953,212966,224706,227686,223612,212954,217368,203617,192202,202215,186542,186532,179538,183004,183078,172608,163193,163577,156029,159186,145088,141976,133096,138202,147273,145316,160297,162037,169533,181650,167881,165714,156596,153123,152787,148526,130701,131633,123064,114779,112396,84770,80592,69208,41083,25988,24882,33392,50048,51495,53229,47917,40456,31237,24556,16253,12373,13098,9933,8865,6408,5320,3489,2430,1661,1077,647,329,363
67,Курганская область,2022,772332,101.1,153408,399807,219117,7186,7358,7547,8454,9194,10240,11026,11177,11645,11579,10732,9442,9226,10479,9799,8324,8352,8243,7486,7167,6294,6734,6151,5786,5077,5689,5970,5988,6106,6874,8448,9735,10015,10636,11466,11910,11422,11115,11595,10919,10565,11201,10464,11067,10573,10753,10777,10643,9944,10397,10067,10048,9396,9352,8867,9555,10361,10226,11811,12429,13049,13335,12650,12976,12641,12595,12611,11558,9786,10982,10182,9010,8877,6765,6253,5749,2956,1896,1909,2551,4131,4685,4789,4354,3157,2702,1996,1242,1058,1150,807,787,645,506,311,257,146,95,45,29,27
68,Свердловская область,2022,4263691,100.3,840806,2399910,1022975,42868,43708,45885,50070,53061,59493,61764,62269,61547,61133,57539,51302,48806,51022,47892,42447,43953,44280,44273,42688,40852,43630,40178,39545,36431,40889,42822,43174,42869,47508,53948,66062,67996,71616,75816,78326,77860,71396,73922,68630,65229,71188,64522,65118,62168,64489,65176,60669,56327,56498,53445,55587,49507,48640,44021,47004,50929,48708,54557,53845,57248,63103,58070,58974,54195,56170,55639,55393,49509,49263,46203,45196,44347,32742,32006,27441,16758,9785,9773,13471,20250,20288,21254,19192,16211,12247,9941,6589,4971,5209,3880,3248,2472,2036,1256,887,539,374,217,96,151
69,Тюменская область,2022,3827679,103.8,856166,2284581,686932,45357,45777,46665,50756,52598,57514,60489,61114,60191,60775,56732,55765,54420,52264,49215,46534,45053,43541,40510,38343,35707,37661,36338,37385,36260,39567,42643,42413,42562,47675,53627,62704,65853,70507,75947,77162,75396,72654,73354,70064,64611,66440,61701,60598,57617,58727,58050,54278,51189,51542,49214,49858,45990,44973,42641,43812,46746,45844,49854,50328,51675,54575,50040,47568,44626,41128,40564,38660,33262,31964,29239,25742,25003,18280,16806,14002,8067,5504,5110,6434,9250,9146,9361,7973,6981,5289,4180,2923,2601,2439,1613,1354,938,762,465,332,266,219,122,67,44
